"Date","Price","Open","High","Low","Change %"
"Apr 06, 1990","1.2068","1.2068","1.2096","1.2038","0.26%"
"Apr 09, 1990","1.2086","1.2086","1.2113","1.2068","0.15%"
"Apr 10, 1990","1.2210","1.2210","1.2217","1.2079","1.03%"
"Apr 11, 1990","1.2222","1.2222","1.2239","1.2104","0.10%"
"Apr 12, 1990","1.2218","1.2218","1.2243","1.2184","-0.03%"
"Apr 13, 1990","1.2210","1.2210","1.2224","1.2202","-0.07%"
"Apr 16, 1990","1.2171","1.2171","1.2199","1.2141","-0.32%"
"Apr 17, 1990","1.2175","1.2175","1.2191","1.2142","0.03%"
"Apr 18, 1990","1.2210","1.2210","1.2234","1.2158","0.29%"
"Apr 19, 1990","1.2167","1.2167","1.2235","1.2145","-0.35%"
"Apr 20, 1990","1.2119","1.2119","1.2188","1.2098","-0.39%"
"Apr 23, 1990","1.2047","1.2047","1.2097","1.2041","-0.59%"
"Apr 24, 1990","1.2056","1.2056","1.2096","1.2026","0.07%"
"Apr 25, 1990","1.2190","1.2190","1.2207","1.2074","1.11%"
"Apr 26, 1990","1.2176","1.2176","1.2210","1.2154","-0.11%"
"Apr 27, 1990","1.2186","1.2186","1.2225","1.2132","0.08%"
"Apr 30, 1990","1.2188","1.2188","1.2212","1.2150","0.02%"
"May 01, 1990","1.2184","1.2184","1.2197","1.2136","-0.03%"
"May 02, 1990","1.2155","1.2155","1.2182","1.2134","-0.24%"
"May 03, 1990","1.2170","1.2170","1.2201","1.2139","0.12%"
"May 04, 1990","1.2296","1.2296","1.2310","1.2182","1.04%"
"May 07, 1990","1.2365","1.2365","1.2397","1.2299","0.56%"
"May 08, 1990","1.2354","1.2354","1.2392","1.2336","-0.09%"
"May 09, 1990","1.2495","1.2495","1.2530","1.2362","1.14%"
"May 10, 1990","1.2526","1.2526","1.2532","1.2431","0.25%"
"May 11, 1990","1.2458","1.2458","1.2540","1.2437","-0.54%"
"May 14, 1990","1.2448","1.2448","1.2471","1.2411","-0.08%"
"May 15, 1990","1.2418","1.2418","1.2470","1.2395","-0.24%"
"May 16, 1990","1.2417","1.2417","1.2470","1.2369","-0.01%"
"May 17, 1990","1.2416","1.2416","1.2521","1.2388","-0.01%"
"May 18, 1990","1.2416","1.2416","1.2454","1.2393","0.00%"
"May 21, 1990","1.2329","1.2329","1.2436","1.2318","-0.70%"
"May 22, 1990","1.2283","1.2283","1.2342","1.2268","-0.37%"
"May 23, 1990","1.2253","1.2253","1.2359","1.2224","-0.24%"
"May 24, 1990","1.2192","1.2192","1.2330","1.2179","-0.50%"
"May 25, 1990","1.2211","1.2211","1.2269","1.2189","0.16%"
"May 28, 1990","1.2241","1.2241","1.2262","1.2237","0.25%"
"May 29, 1990","1.2270","1.2270","1.2315","1.2244","0.24%"
"May 30, 1990","1.2201","1.2201","1.2315","1.2193","-0.56%"
"May 31, 1990","1.2117","1.2117","1.2233","1.2087","-0.69%"
"Jun 01, 1990","1.2096","1.2096","1.2226","1.2081","-0.17%"
"Jun 04, 1990","1.2167","1.2167","1.2190","1.2061","0.59%"
"Jun 05, 1990","1.2188","1.2188","1.2224","1.2097","0.17%"
"Jun 06, 1990","1.2170","1.2170","1.2225","1.2153","-0.15%"
"Jun 07, 1990","1.2136","1.2136","1.2199","1.2128","-0.28%"
"Jun 08, 1990","1.2113","1.2113","1.2167","1.2094","-0.19%"
"Jun 11, 1990","1.2138","1.2138","1.2184","1.2113","0.21%"
"Jun 12, 1990","1.2195","1.2195","1.2212","1.2170","0.47%"
"Jun 13, 1990","1.2167","1.2167","1.2206","1.2158","-0.23%"
"Jun 14, 1990","1.2248","1.2248","1.2254","1.2174","0.67%"
"Jun 15, 1990","1.2184","1.2184","1.2211","1.2110","-0.52%"
"Jun 18, 1990","1.2305","1.2305","1.2325","1.2180","0.99%"
"Jun 19, 1990","1.2344","1.2344","1.2355","1.2275","0.32%"
"Jun 20, 1990","1.2306","1.2306","1.2344","1.2252","-0.31%"
"Jun 21, 1990","1.2307","1.2307","1.2314","1.2267","0.01%"
"Jun 22, 1990","1.2320","1.2320","1.2320","1.2280","0.11%"
"Jun 25, 1990","1.2302","1.2302","1.2335","1.2290","-0.15%"
"Jun 26, 1990","1.2350","1.2350","1.2364","1.2278","0.39%"
"Jun 27, 1990","1.2395","1.2395","1.2437","1.2386","0.36%"
"Jun 28, 1990","1.2374","1.2374","1.2433","1.2361","-0.17%"
"Jun 29, 1990","1.2365","1.2365","1.2410","1.2332","-0.07%"
"Jul 02, 1990","1.2465","1.2465","1.2493","1.2396","0.81%"
"Jul 03, 1990","1.2506","1.2506","1.2508","1.2449","0.33%"
"Jul 04, 1990","1.2561","1.2561","1.2574","1.2536","0.44%"
"Jul 05, 1990","1.2535","1.2535","1.2569","1.2505","-0.21%"
"Jul 06, 1990","1.2511","1.2511","1.2535","1.2483","-0.19%"
"Jul 09, 1990","1.2565","1.2565","1.2590","1.2515","0.43%"
"Jul 10, 1990","1.2605","1.2605","1.2651","1.2540","0.32%"
"Jul 11, 1990","1.2540","1.2540","1.2637","1.2531","-0.52%"
"Jul 12, 1990","1.2475","1.2475","1.2510","1.2454","-0.52%"
"Jul 13, 1990","1.2603","1.2603","1.2643","1.2563","1.03%"
"Jul 16, 1990","1.2534","1.2534","1.2609","1.2473","-0.55%"
"Jul 17, 1990","1.2580","1.2580","1.2580","1.2493","0.37%"
"Jul 18, 1990","1.2615","1.2615","1.2665","1.2595","0.28%"
"Jul 19, 1990","1.2630","1.2630","1.2636","1.2564","0.12%"
"Jul 20, 1990","1.2624","1.2624","1.2666","1.2603","-0.05%"
"Jul 23, 1990","1.2740","1.2740","1.2740","1.2640","0.92%"
"Jul 24, 1990","1.2771","1.2771","1.2771","1.2722","0.24%"
"Jul 25, 1990","1.2775","1.2775","1.2807","1.2728","0.03%"
"Jul 26, 1990","1.2765","1.2765","1.2805","1.2715","-0.08%"
"Jul 27, 1990","1.2835","1.2835","1.2841","1.2731","0.55%"
"Jul 30, 1990","1.2877","1.2877","1.2908","1.2845","0.33%"
"Jul 31, 1990","1.3047","1.3047","1.3047","1.2877","1.32%"
"Aug 01, 1990","1.3005","1.3005","1.3056","1.2992","-0.32%"
"Aug 02, 1990","1.3009","1.3009","1.3085","1.2792","0.03%"
"Aug 03, 1990","1.2995","1.2995","1.3054","1.2968","-0.11%"
"Aug 06, 1990","1.3157","1.3157","1.3200","1.3012","1.25%"
"Aug 07, 1990","1.3121","1.3121","1.3196","1.3100","-0.27%"
"Aug 08, 1990","1.3048","1.3048","1.3118","1.2977","-0.56%"
"Aug 09, 1990","1.3045","1.3045","1.3113","1.3032","-0.02%"
"Aug 10, 1990","1.3050","1.3050","1.3080","1.2987","0.04%"
