"Date","Price","Open","High","Low","Change %"
"Aug 12, 2014","1.6814","1.6787","1.6818","1.6755","0.16%"
"Aug 13, 2014","1.6688","1.6813","1.6844","1.6685","-0.75%"
"Aug 14, 2014","1.6687","1.6690","1.6698","1.6656","-0.01%"
"Aug 15, 2014","1.6696","1.6688","1.6704","1.6677","0.05%"
"Aug 18, 2014","1.6728","1.6723","1.6741","1.6712","0.19%"
"Aug 19, 2014","1.6617","1.6730","1.6730","1.6611","-0.66%"
"Aug 20, 2014","1.6595","1.6616","1.6679","1.6589","-0.13%"
"Aug 21, 2014","1.6580","1.6597","1.6603","1.6562","-0.09%"
"Aug 22, 2014","1.6571","1.6579","1.6597","1.6561","-0.05%"
"Aug 25, 2014","1.6578","1.6570","1.6599","1.6526","0.04%"
"Aug 26, 2014","1.6540","1.6578","1.6596","1.6538","-0.23%"
"Aug 27, 2014","1.6576","1.6542","1.6606","1.6536","0.22%"
"Aug 28, 2014","1.6587","1.6578","1.6616","1.6568","0.07%"
"Aug 29, 2014","1.6599","1.6587","1.6614","1.6562","0.07%"
"Sep 01, 2014","1.6608","1.6593","1.6644","1.6583","0.05%"
"Sep 02, 2014","1.6471","1.6608","1.6616","1.6467","-0.82%"
"Sep 03, 2014","1.6462","1.6471","1.6499","1.6439","-0.05%"
"Sep 04, 2014","1.6332","1.6462","1.6467","1.6330","-0.79%"
"Sep 05, 2014","1.6327","1.6333","1.6341","1.6284","-0.03%"
"Sep 08, 2014","1.6105","1.6202","1.6235","1.6098","-1.36%"
"Sep 09, 2014","1.6107","1.6105","1.6159","1.6058","0.01%"
"Sep 10, 2014","1.6212","1.6107","1.6231","1.6052","0.65%"
"Sep 11, 2014","1.6255","1.6212","1.6270","1.6184","0.27%"
"Sep 12, 2014","1.6269","1.6256","1.6279","1.6206","0.09%"
"Sep 15, 2014","1.6233","1.6271","1.6279","1.6220","-0.22%"
"Sep 16, 2014","1.6277","1.6233","1.6312","1.6162","0.27%"
"Sep 17, 2014","1.6275","1.6279","1.6359","1.6250","-0.01%"
"Sep 18, 2014","1.6401","1.6277","1.6410","1.6246","0.77%"
"Sep 19, 2014","1.6288","1.6401","1.6526","1.6284","-0.69%"
"Sep 22, 2014","1.6361","1.6288","1.6369","1.6288","0.45%"
"Sep 23, 2014","1.6389","1.6362","1.6418","1.6303","0.17%"
"Sep 24, 2014","1.6340","1.6390","1.6416","1.6327","-0.30%"
"Sep 25, 2014","1.6317","1.6341","1.6345","1.6277","-0.14%"
"Sep 26, 2014","1.6247","1.6319","1.6334","1.6237","-0.43%"
"Sep 29, 2014","1.6242","1.6246","1.6275","1.6214","-0.03%"
"Sep 30, 2014","1.6214","1.6240","1.6288","1.6166","-0.17%"
"Oct 01, 2014","1.6186","1.6214","1.6253","1.6162","-0.17%"
"Oct 02, 2014","1.6143","1.6185","1.6250","1.6111","-0.27%"
"Oct 03, 2014","1.5964","1.6145","1.6160","1.5953","-1.11%"
"Oct 06, 2014","1.6084","1.5959","1.6100","1.5943","0.75%"
"Oct 07, 2014","1.6096","1.6084","1.6130","1.6025","0.07%"
"Oct 08, 2014","1.6168","1.6095","1.6182","1.6030","0.45%"
"Oct 09, 2014","1.6119","1.6170","1.6228","1.6104","-0.30%"
"Oct 10, 2014","1.6078","1.6120","1.6138","1.6009","-0.25%"
"Oct 13, 2014","1.6085","1.6077","1.6128","1.6051","0.04%"
"Oct 14, 2014","1.5905","1.6086","1.6103","1.5896","-1.12%"
"Oct 15, 2014","1.6021","1.5903","1.6071","1.5875","0.73%"
"Oct 16, 2014","1.6088","1.6022","1.6097","1.5941","0.42%"
"Oct 17, 2014","1.6094","1.6090","1.6128","1.6029","0.04%"
"Oct 20, 2014","1.6165","1.6097","1.6182","1.6080","0.44%"
"Oct 21, 2014","1.6111","1.6164","1.6187","1.6111","-0.33%"
"Oct 22, 2014","1.6050","1.6109","1.6132","1.6010","-0.38%"
"Oct 23, 2014","1.6031","1.6052","1.6062","1.5996","-0.12%"
"Oct 24, 2014","1.6090","1.6031","1.6100","1.6018","0.37%"
"Oct 27, 2014","1.6120","1.6098","1.6147","1.6077","0.19%"
"Oct 28, 2014","1.6130","1.6120","1.6183","1.6086","0.06%"
"Oct 29, 2014","1.6011","1.6134","1.6163","1.6002","-0.74%"
"Oct 30, 2014","1.6000","1.6014","1.6040","1.5951","-0.07%"
"Oct 31, 2014","1.5998","1.6002","1.6017","1.5944","-0.01%"
"Nov 03, 2014","1.5972","1.5977","1.6020","1.5927","-0.16%"
"Nov 04, 2014","1.6004","1.5972","1.6016","1.5964","0.20%"
"Nov 05, 2014","1.5977","1.6004","1.6024","1.5870","-0.17%"
"Nov 06, 2014","1.5831","1.5978","1.6004","1.5825","-0.91%"
"Nov 07, 2014","1.5873","1.5833","1.5888","1.5791","0.27%"
"Nov 10, 2014","1.5842","1.5875","1.5919","1.5840","-0.20%"
"Nov 11, 2014","1.5919","1.5842","1.5945","1.5833","0.49%"
"Nov 12, 2014","1.5781","1.5922","1.5943","1.5776","-0.87%"
"Nov 13, 2014","1.5711","1.5781","1.5782","1.5694","-0.44%"
"Nov 14, 2014","1.5669","1.5711","1.5713","1.5593","-0.27%"
"Nov 17, 2014","1.5641","1.5669","1.5737","1.5619","-0.18%"
"Nov 18, 2014","1.5634","1.5642","1.5682","1.5630","-0.04%"
"Nov 19, 2014","1.5682","1.5630","1.5721","1.5589","0.31%"
"Nov 20, 2014","1.5695","1.5683","1.5738","1.5632","0.08%"
"Nov 21, 2014","1.5655","1.5694","1.5716","1.5628","-0.25%"
"Nov 24, 2014","1.5705","1.5657","1.5715","1.5627","0.32%"
"Nov 25, 2014","1.5708","1.5708","1.5736","1.5648","0.02%"
"Nov 26, 2014","1.5792","1.5710","1.5807","1.5679","0.53%"
"Nov 27, 2014","1.5736","1.5794","1.5828","1.5716","-0.35%"
"Nov 28, 2014","1.5648","1.5736","1.5743","1.5614","-0.56%"
"Dec 01, 2014","1.5730","1.5650","1.5765","1.5587","0.52%"
"Dec 02, 2014","1.5636","1.5729","1.5744","1.5630","-0.60%"
"Dec 03, 2014","1.5686","1.5637","1.5719","1.5619","0.32%"
"Dec 04, 2014","1.5673","1.5686","1.5726","1.5642","-0.08%"
"Dec 05, 2014","1.5583","1.5675","1.5697","1.5570","-0.57%"
"Dec 08, 2014","1.5653","1.5588","1.5682","1.5542","0.45%"
"Dec 09, 2014","1.5671","1.5654","1.5719","1.5626","0.11%"
"Dec 10, 2014","1.5716","1.5672","1.5722","1.5648","0.29%"
"Dec 11, 2014","1.5732","1.5715","1.5756","1.5650","0.10%"
"Dec 12, 2014","1.5720","1.5734","1.5747","1.5694","-0.08%"
"Dec 15, 2014","1.5638","1.5720","1.5747","1.5600","-0.52%"
"Dec 16, 2014","1.5749","1.5638","1.5787","1.5610","0.71%"
"Dec 17, 2014","1.5575","1.5749","1.5757","1.5544","-1.10%"
"Dec 18, 2014","1.5671","1.5576","1.5680","1.5550","0.62%"
"Dec 19, 2014","1.5631","1.5671","1.5684","1.5604","-0.26%"
"Dec 22, 2014","1.5590","1.5620","1.5667","1.5573","-0.26%"
"Dec 23, 2014","1.5522","1.5591","1.5610","1.5486","-0.44%"
"Dec 24, 2014","1.5560","1.5522","1.5566","1.5503","0.24%"
"Dec 25, 2014","1.5538","1.5557","1.5567","1.5528","-0.14%"
"Dec 26, 2014","1.5556","1.5540","1.5570","1.5538","0.12%"
"Dec 29, 2014","1.5514","1.5568","1.5588","1.5508","-0.27%"
"Dec 30, 2014","1.5559","1.5515","1.5575","1.5500","0.29%"
"Dec 31, 2014","1.5575","1.5559","1.5621","1.5549","0.10%"
"Jan 01, 2015","1.5545","1.5577","1.5581","1.5545","-0.19%"
"Jan 02, 2015","1.5328","1.5585","1.5587","1.5328","-1.40%"
"Jan 05, 2015","1.5250","1.5332","1.5337","1.5200","-0.51%"
"Jan 06, 2015","1.5151","1.5249","1.5275","1.5141","-0.65%"
"Jan 07, 2015","1.5111","1.5151","1.5157","1.5055","-0.26%"
"Jan 08, 2015","1.5088","1.5109","1.5118","1.5034","-0.15%"
"Jan 09, 2015","1.5160","1.5090","1.5177","1.5076","0.48%"
"Jan 12, 2015","1.5171","1.5184","1.5194","1.5097","0.07%"
"Jan 13, 2015","1.5159","1.5170","1.5192","1.5075","-0.08%"
"Jan 14, 2015","1.5232","1.5160","1.5269","1.5143","0.48%"
"Jan 15, 2015","1.5183","1.5236","1.5269","1.5151","-0.32%"
"Jan 16, 2015","1.5151","1.5185","1.5237","1.5076","-0.21%"
"Jan 19, 2015","1.5111","1.5169","1.5181","1.5105","-0.26%"
"Jan 20, 2015","1.5145","1.5112","1.5201","1.5057","0.22%"
"Jan 21, 2015","1.5143","1.5144","1.5179","1.5075","-0.01%"
"Jan 22, 2015","1.5010","1.5143","1.5213","1.4971","-0.88%"
"Jan 23, 2015","1.4990","1.5010","1.5038","1.4950","-0.13%"
"Jan 26, 2015","1.5080","1.4987","1.5103","1.4975","0.60%"
"Jan 27, 2015","1.5197","1.5077","1.5223","1.5059","0.78%"
"Jan 28, 2015","1.5135","1.5198","1.5221","1.5128","-0.41%"
"Jan 29, 2015","1.5067","1.5135","1.5164","1.5017","-0.45%"
"Jan 30, 2015","1.5069","1.5068","1.5098","1.4990","0.01%"
"Feb 02, 2015","1.5040","1.5086","1.5101","1.5005","-0.19%"
"Feb 03, 2015","1.5166","1.5038","1.5196","1.4987","0.84%"
"Feb 04, 2015","1.5183","1.5168","1.5252","1.5137","0.11%"
